#,Zerpmon,Types,,White Move #1,Dmg,Type,ID,%,White Move #2,Dmg,Type,ID,%,Gold Move #1,Dmg,Type,ID,%,Gold Move #2,Dmg,Type,ID,%,Purple Move #1,Stars,ID,%,Purple Move #2,Stars,ID,%,Blue Move,ID,%,Miss,ID,%
100032,Junk-E,Steel,,Metallic Rush,80,Steel,#308,17.00%,Chrono Steel Blast,100,Steel,#310,17.00%,Extreme Speed,85,Normal,#28,17.00%,Tremor Shake,70,Ground,#171,12.00%,Steel Plague,****,#320,6.00%,Rust,*,#317,3.00%,Protect,#377,10.00%,Miss,#1,28.00%
100033,Foo,Steel,,Metal Fang,100,Steel,#309,7.00%,Bone Breaker,100,Fighting,#129,17.00%,Extreme Speed,85,Normal,#28,15.00%,Omega Steel Strike,85,Steel,#316,16.00%,Iron Defense,**,#318,8.00%,Courageous Roar,**,#138,5.00%,Protect,#377,11.00%,Miss,#1,32.00%
100034,Mr. Mee Ow,Dark,,Scratch,30,Normal,#4,11.00%,Fatal Sneak Attack,125,Fighting,#395,24.00%,Dark Punch,75,Dark,#485,12.00%,Eternal Nightfall,85,Dark,#298,16.00%,Demonic Dread,***,#301,5.00%,Counter Attack,***,#449,8.00%,Decoy,#384,22.00%,Miss,#1,24.00%
100035,Bit & Homp,Electric,Ghost,Voltage Overload,125,Electric,#401,15.00%,Ethereal Blast,80,Ghost,#254,20.00%,Night Terror,70,Ghost,#261,17.00%,Electro Ball,70,Electric,#99,18.00%,Paranoia,*****,#445,9.00%,Ghostly Possession,****,#266,6.00%,Protect,#377,13.00%,Miss,#1,15.00%
100036,Zehabit,Electric,Fighting,Bone Breaker,100,Fighting,#129,13.00%,Electric Whip,80,Electric,#92,16.00%,Close Combat,85,Fighting,#136,14.00%,Omega Steel Strike,85,Steel,#316,19.00%,Thunderous Roar,***,#103,12.00%,Spirit Boost,*,#137,7.00%,Counter,#389,14.00%,Miss,#1,19.00%
100037,Aristorat,Normal,,Bump and Run,100,Normal,#20,23.00%,Ground Shatter,100,Ground,#166,14.00%,Psychic Surge,55,Psychic,#206,8.00%,Umbral Uppercut,40,Dark,#295,9.00%,Screech,***,#31,16.00%,Special Talent,****,#446,16.00%,Protect,#377,11.00%,Miss,#1,14.00%
100038,Anbunny,Fighting,,Fatal Sneak Attack,125,Fighting,#395,20.00%,Poison Spike,80,Poison,#424,17.00%,Omega Steel Strike,85,Steel,#316,14.00%,Close Combat,85,Fighting,#136,17.00%,Courageous Roar,**,#138,8.00%,Spirit Boost,*,#137,8.00%,Protect,#377,15.00%,Miss,#1,16.00%
100039,Thurstrap,Cosmic,,Starlight Burst,80,Cosmic,#435,12.00%,Piercing Sparkle,125,Fairy,#413,18.00%,Extreme Speed,85,Normal,#28,15.00%,Interstellar Impact,85,Cosmic,#352,9.00%,Aurora Borealis,****,#356,11.00%,Soothing Voice,***,#452,10.00%,Protect,#377,11.00%,Miss,#1,25.00%
100040,Rubix,Normal,Pysychic,Zen Headbutt,80,Psychic,#200,12.00%,Bump and Run,100,Normal,#20,23.00%,Close Combat,85,Fighting,#136,10.00%,Aurora Blast,55,Cosmic,#350,10.00%,Taunt and Tease,****,#32,15.00%,Mind Control,***,#211,13.00%,Protect,#377,10.00%,Miss,#1,17.00%
100041,Powzer,Fighting,Steel,Zap Cannon,80,Electric,#91,18.00%,Iron Strike,100,Fighting,#130,25.00%,Omega Steel Strike,85,Steel,#316,13.00%,Shockwave Smash,85,Electric,#100,11.00%,Fire Cloak,*,#47,10.00%,Iron Defense,**,#318,12.00%,Protect,#377,15.00%,Miss,#1,11.00%
100042,Elderich,Grass,Psychic,Roots Below,125,Grass,#400,25.00%,Earthquake,100,Ground,#165,15.00%,Telepathic Tempest,85,Psychic,#208,20.00%,Smack Down,70,Fighting,#135,5.00%,Telekinetic Shield,**,#210,17.00%,Dark Whispers,**,#300,6.00%,Protect,#377,10.00%,Miss,#1,12.00%
100043,Birb,Flying,,Dive Bomb,100,Flying,#184,19.00%,Gale Force Barrage,125,Flying,#405,15.00%,Jet Strike,55,Normal,#26,20.00%,Close Combat,85,Fighting,#136,14.00%,Brave Bird,***,#193,7.00%,Sandstorm Shield,****,#176,7.00%,Protect,#377,11.00%,Miss,#1,18.00%
100044,Ragzee,Cosmic,Water,Whirlpool Vortex,120,Water,#60,21.00%,Zen Headbutt,80,Psychic,#200,22.00%,Solar Storm,70,Cosmic,#351,15.00%,Water Whip,55,Water,#62,14.00%,Seafoam Shield,*,#65,10.00%,Mind Control,***,#211,8.00%,Protect,#377,13.00%,Miss,#1,10.00%
100045,Duffy,Water,,Dream Eater,120,Psychic,#203,15.00%,Whirlpool Vortex,120,Water,#60,13.00%,Torrential Tempest,70,Water,#63,13.00%,Extreme Speed,85,Normal,#28,13.00%,Bubble Barrier,**,#66,12.00%,Feathered Fling,****,#194,9.00%,Protect,#377,11.00%,Miss,#1,25.00%
100046,Bullar,Fighting,,Bone Breaker,100,Fighting,#129,23.00%,Ground Shatter,100,Ground,#166,24.00%,Smack Down,70,Fighting,#135,15.00%,Searing Strike,55,Fire,#44,8.00%,Courageous Roar,**,#138,10.00%,Impenetrable Armour,****,#465,7.00%,Protect,#377,14.00%,Miss,#1,13.00%
100047,Xoad,Psychic,,Dream Eater,120,Psychic,#203,21.00%,Poisonous Whirlwind,80,Poison,#146,20.00%,Telepathic Tempest,85,Psychic,#208,17.00%,Leaf Tornado,70,Grass,#81,13.00%,Telekinetic Shield,**,#210,12.00%,Venemous Vortex,****,#158,5.00%,Protect,#377,10.00%,Miss,#1,12.00%
100048,Chainz,Rock,,Submission Slam,120,Fighting,#132,28.00%,Rocky Rampage,100,Rock,#237,19.00%,Bedrock Blast,70,Rock,#243,15.00%,Tremor Shake,70,Ground,#171,15.00%,Tectonic Divide,*****,#461,6.00%,Guard Up,***,#139,5.00%,Protect,#377,11.00%,Miss,#1,12.00%
100049,Bape,Normal,,Fists of Fury,80,Fighting,#128,20.00%,Last Resort,120,Normal,#24,24.00%,Digging Strike,55,Ground,#170,13.00%,Rock Throw,40,Rock,#241,15.00%,Kung Fu Confusion,****,#140,12.00%,Screech,***,#31,4.00%,Protect,#377,17.00%,Miss,#1,12.00%
100050,Ponk,Cosmic,Dark,Soul-Sucking Siphon,120,Dark,#294,22.00%,Cosmic Ray Beam,100,Cosmic,#345,21.00%,Wraith Whip,70,Undead,#369,16.00%,Psychic Surge,55,Psychic,#206,13.00%,Nocturnal Nightmare,****,#302,7.00%,Space Time Warp,**,#354,5.00%,Protect,#377,12.00%,Miss,#1,16.00%
100051,Stayg,Cosmic,Grass,Ground Shatter,100,Ground,#166,16.00%,Death Charge,120,Normal,#23,29.00%,Chlorophyll Charge,85,Grass,#82,18.00%,Nightmarish Nudge,40,Ghost,#259,5.00%,Floral Fusion,****,#86,14.00%,Petal Dance,*,#83,5.00%,Protect,#377,10.00%,Miss,#1,13.00%
100052,Roodie,Electric,,Thunderclap Crash,100,Electric,#94,18.00%,Submission Slam,120,Fighting,#132,23.00%,Shockwave Smash,85,Electric,#100,16.00%,Aura Sphere Blast,70,Psychic,#207,12.00%,Magnet Wave,**,#102,7.00%,Toxic Touch,*,#155,10.00%,Protect,#377,13.00%,Miss,#1,14.00%
100053,Crocroar,Rock,Water,Waterfall Charge,100,Water,#57,21.00%,Obsidian Blast,100,Rock,#238,16.00%,Fossil Fury,55,Rock,#242,18.00%,Drenching Downpour,85,Water,#64,15.00%,Aqua Veil,***,#67,8.00%,Venemous Vortex,****,#158,9.00%,Protect,#377,12.00%,Miss,#1,13.00%
100054,Seakill,Dark,Flying,Aeroblast,120,Flying,#186,21.00%,Shadowy Sweep,80,Dark,#290,20.00%,Whirlwind Whack,70,Flying,#189,18.00%,Close Combat,85,Fighting,#136,12.00%,Tailwind Boost,**,#192,7.00%,Frighten,*,#299,10.00%,Protect,#377,16.00%,Miss,#1,12.00%
100055,Yowie,Psychic,Steel,Psyshock Slam,100,Psychic,#202,19.00%,Titan Steel Tempest,120,Steel,#312,18.00%,Eclipse Eruption,55,Dark,#296,15.00%,Telepathic Tempest,85,Psychic,#208,11.00%,Rust,*,#317,10.00%,Telekinetic Shield,**,#210,5.00%,Protect,#377,11.00%,Miss,#1,22.00%
100056,Rocky,Rock,,Meteor Rush,120,Rock,#239,23.00%,Rocky Rampage,100,Rock,#237,25.00%,Tremor Shake,70,Ground,#171,16.00%,Close Combat,85,Fighting,#136,14.00%,Rock Shield,**,#246,8.00%,Ghostly Possession,****,#266,4.00%,Protect,#377,12.00%,Miss,#1,10.00%
100057,Serfox,Normal,,Bump and Run,100,Normal,#20,23.00%,Ground Shatter,100,Ground,#166,19.00%,Starry Nightfall,100,Cosmic,#346,14.00%,Smack Down,70,Fighting,#135,15.00%,Taunt and Tease,****,#32,5.00%,Telekinetic Shield,**,#210,6.00%,Protect,#377,11.00%,Miss,#1,18.00%
100058,Zomboi,Undead,,Undead Apocalypse,120,Undead,#366,25.00%,Soul-Sucking Siphon,120,Dark,#294,16.00%,Decay Dive,55,Undead,#368,16.00%,Sludge Cannon,55,Poison,#152,16.00%,Death's Dominion,****,#374,9.00%,Dark Whispers,**,#300,8.00%,Protect,#377,15.00%,Miss,#1,10.00%
100059,Zillar,Dragonling,Ice,Claw Crush,100,Dragon,#273,19.00%,Subzero Slash,100,Ice,#112,20.00%,Supernova,70,Dragon,#279,17.00%,Crystal Crush,85,Ice,#118,18.00%,Ice Wall,***,#121,5.00%,Sub Zero,*****,#458,11.00%,Protect,#377,14.00%,Miss,#1,10.00%
100060,Tederror,Fighting,,Flame Charge,50,Fire,#36,9.00%,Ground Shatter,100,Ground,#166,14.00%,Close Combat,85,Fighting,#136,20.00%,Fighting Punch,75,Fighting,#481,13.00%,Burn Up,**,#48,12.00%,Tectonic Divide,*****,#461,10.00%,Block,#394,16.00%,Miss,#1,22.00%
100061,Lootlord,Undead,,Death Hug,125,Normal,#397,23.00%,Necro Blast,80,Undead,#436,14.00%,Deathly Dismemberment,85,Undead,#370,12.00%,Sludge Cannon,55,Poison,#152,17.00%,Necromancer's Grasp,***,#373,10.00%,Toxic Wasteland,*****,#460,12.00%,Protect,#377,10.00%,Miss,#1,12.00%
100062,Donkdor,Steel,,Metallic Rush,80,Steel,#308,17.00%,Titan Steel Tempest,120,Steel,#312,18.00%,Terra Tackle,40,Ground,#169,8.00%,Steel Strike,75,Steel,#492,14.00%,Metallic Harden,***,#319,8.00%,Iron Defense,**,#318,5.00%,Evade,#375,11.00%,Miss,#1,30.00%
100063,Matey,Dark,Undead,Skeletal Strike,50,Undead,#360,8.00%,Abyssal Annihilation,120,Dark,#293,19.00%,Obilivion Orb,70,Dark,#297,13.00%,Close Combat,85,Fighting,#136,13.00%,Nocturnal Nightmare,****,#302,12.00%,Death's Dominion,****,#374,8.00%,Protect,#377,16.00%,Miss,#1,27.00%
100064,Florian,Water,,Aqua Shot,80,Water,#419,16.00%,Vortex Tsunami,125,Water,#399,20.00%,Extreme Speed,85,Normal,#28,14.00%,Torrential Tempest,70,Water,#63,13.00%,Aqua Veil,***,#67,9.00%,Charm Beam,**,#336,9.00%,Dive,#387,17.00%,Miss,#1,19.00%
100065,Beezal,Bug,Steel,Web Shot Lunge,100,Bug,#220,13.00%,Metallic Rush,80,Steel,#308,10.00%,Omega Steel Strike,85,Steel,#316,20.00%,Bedrock Blast,70,Rock,#243,12.00%,Ancient Power,***,#247,8.00%,Steel Plague,****,#320,9.00%,Fly,#391,11.00%,Miss,#1,28.00%
100066,Beatz,Ghost,,Banshee Blast,120,Ghost,#257,22.00%,Ethereal Blast,80,Ghost,#254,19.00%,Aura Sphere Blast,70,Psychic,#207,10.00%,Electro Ball,70,Electric,#99,13.00%,Soul Drain,***,#265,11.00%,Deafening Scream,***,#453,13.00%,Protect,#377,13.00%,Miss,#1,12.00%
100067,Casclaw,Psychic,,Confusion Strike,50,Psychic,#198,11.00%,Hyperspace Punch,120,Psychic,#204,17.00%,Malicious Pinch,70,Dark,#416,13.00%,Psychic Power,75,Psychic,#478,16.00%,Alternate Dimension,****,#463,12.00%,Special Talent,****,#446,10.00%,Mirage,#383,10.00%,Miss,#1,21.00%
100068,Mayflow,Grass,Poison,Grass Whirlwind,50,Grass,#71,20.00%,Roots Below,125,Grass,#400,5.00%,Terra Tackle,40,Ground,#169,15.00%,Venom Pounce,70,Poison,#153,14.00%,Toxic Wasteland,*****,#460,15.00%,Leaf Wrap,*****,#443,18.00%,Protect,#377,11.00%,Miss,#1,13.00%
100069,Kaijusaur,Cosmic,Normal,Portal Slam,80,Cosmic,#344,25.00%,Jaw Crush,85,Normal,#16,12.00%,Solar Storm,70,Cosmic,#351,15.00%,Aurora Blast,55,Cosmic,#350,9.00%,Special Talent,****,#446,15.00%,Counter Attack,***,#449,13.00%,Protect,#377,14.00%,Miss,#1,11.00%
100070,Tigeren,Fire,,Claw Crush,100,Dragon,#273,21.00%,Magma Blast,80,Fire,#38,11.00%,Infernal Explosion,85,Fire,#46,18.00%,Flame Whirlwind,70,Fire,#45,16.00%,Fire Cloak,*,#47,11.00%,Blinding Light,**,#451,10.00%,Protect,#377,13.00%,Miss,#1,13.00%
100071,Hotdawg,Grass,Normal,Death Hug,125,Normal,#397,11.00%,Jaw Crush,85,Normal,#16,18.00%,Extreme Speed,85,Normal,#28,15.00%,Pollen Puff,55,Grass,#80,18.00%,Pressure Point,*****,#440,14.00%,Seed Scatter,***,#85,12.00%,Protect,#377,10.00%,Miss,#1,12.00%
100072,Slyce,Cosmic,Psychic,Interdimensional Rift,80,Cosmic,#343,13.00%,Portal Slam,80,Cosmic,#344,12.00%,Psychic Power,75,Psychic,#478,19.00%,Aura Sphere Blast,70,Psychic,#207,19.00%,Telekinetic Shield,**,#210,12.00%,Thought Scramble,****,#212,10.00%,Protect,#377,10.00%,Miss,#1,15.00%
100073,Noodo,Bug,,Rapid Sting,80,Bug,#428,15.00%,Insects Rising,125,Bug,#407,19.00%,Bug Strike,75,Bug,#491,15.00%,Bug Brawl,40,Bug,#223,7.00%,Rapid Evolution,****,#464,20.00%,Infestation,****,#230,14.00%,Protect,#377,14.00%,Miss,#1,10.00%
100074,Bobzi,Grass,Water,Aqua Shot,80,Water,#419,16.00%,Thorn Shot,80,Grass,#420,14.00%,Torrential Tempest,70,Water,#63,19.00%,Leaf Tornado,70,Grass,#81,20.00%,Bubble Barrier,**,#66,14.00%,Leaf Wrap,*****,#443,7.00%,Protect,#377,16.00%,Miss,#1,10.00%
100075,Bamix,Normal,,Skull Bash,80,Normal,#14,16.00%,Last Resort,120,Normal,#24,12.00%,Snuggle Tackle,70,Normal,#27,22.00%,Jet Strike,55,Normal,#26,10.00%,Disarm,*****,#441,13.00%,Counter Attack,***,#449,13.00%,Protect,#377,10.00%,Miss,#1,14.00%
100076,Roarex,Dark,Ground,Cataclysm,125,Ground,#404,19.00%,Ground Shatter,100,Ground,#166,24.00%,Eclipse Eruption,55,Dark,#296,7.00%,Eternal Nightfall,85,Dark,#298,14.00%,Tectonic Divide,*****,#461,8.00%,Frighten,*,#299,15.00%,Protect,#377,11.00%,Miss,#1,13.00%
100077,Bluejay,Flying,,Aerial Assault,80,Flying,#181,19.00%,Feather Shot,80,Flying,#426,18.00%,Flying Strike,75,Flying,#490,14.00%,Talon Tornado,85,Flying,#190,16.00%,Soothing Voice,***,#452,11.00%,Screech,***,#31,7.00%,Protect,#377,14.00%,Miss,#1,15.00%
100078,Ciana,Normal,,Bump and Run,100,Normal,#20,20.00%,Wild Rush,80,Normal,#15,8.00%,Extreme Speed,85,Normal,#28,15.00%,Snuggle Tackle,70,Normal,#27,18.00%,Special Talent,****,#446,9.00%,Counter Attack,***,#449,16.00%,Protect,#377,12.00%,Miss,#1,14.00%
100079,Meiru,Fairy,Grass,Sparkle Burst,80,Fairy,#434,14.00%,Angelic Annihilation,120,Fairy,#330,20.00%,Pollen Puff,55,Grass,#80,18.00%,Blossom Blast,40,Grass,#79,20.00%,Leaf Wrap,*****,#443,8.00%,Soothing Voice,***,#452,10.00%,Protect,#377,14.00%,Miss,#1,10.00%
100080,Popkee,Fire,,Fire Ball,80,Fire,#418,20.00%,Chain Lightning,100,Electric,#510,14.00%,Flame Whirlwind,70,Fire,#45,13.00%,Ember Wheel,40,Fire,#43,13.00%,Hellfire,*****,#454,14.00%,Blinding Light,**,#451,12.00%,Protect,#377,12.00%,Miss,#1,14.00%
100081,Wavezaar,Water,,Whirlpool Vortex,120,Water,#60,14.00%,Electro Storm,100,Electric,#93,13.00%,Heavenly Hurricane,85,Fairy,#334,11.00%,Water Power,75,Water,#474,10.00%,Aqua Veil,***,#67,16.00%,Counter Attack,***,#449,15.00%,Dive,#387,12.00%,Miss,#1,21.00%
100082,Physib,Fairy,,Sparkle Wave,50,Fairy,#324,11.00%,Nebula Burst,50,Cosmic,#341,10.00%,Interstellar Impact,85,Cosmic,#352,18.00%,Psychic Power,75,Psychic,#478,15.00%,Lucky Comet,****,#471,11.00%,Impenetrable Armour,****,#465,12.00%,Withdraw,#379,12.00%,Miss,#1,23.00%
100083,Metamo,Normal,Steel,Alloy Smash,80,Steel,#433,20.00%,Head Kick,70,Normal,#13,10.00%,Psychic Surge,55,Psychic,#206,12.00%,Alloy Attack,40,Steel,#313,15.00%,Pressure Point,*****,#440,10.00%,Knacker,**,#450,11.00%,Decoy,#384,13.00%,Miss,#1,22.00%
200001,Experiment 001,Fire,Ghost,Fire Ball,80,Fire,#418,9.00%,Poltergeist Strike,50,Ghost,#251,8.00%,Cursed Cut,55,Ghost,#260,12.00%,Flame Whirlwind,70,Fire,#45,13.00%,Hellfire,*****,#454,19.00%,Soul Drain,***,#265,18.00%,Protect,#377,10.00%,Miss,#1,21.00%
200002,Experiment 002,Cosmic,Normal,Starlight Burst,80,Cosmic,#435,15.00%,Death Hug,125,Normal,#397,15.00%,Night Terror,70,Ghost,#261,13.00%,Electro Ball,70,Electric,#99,7.00%,Lucky Comet,****,#471,23.00%,Haunting Curse,**,#264,13.00%,Protect,#377,11.00%,Miss,#1,14.00%
200003,Experiment 003,Poison,Psychic,Reality Bend,125,Psychic,#406,11.00%,Toxic Tornado,100,Poison,#148,16.00%,Noxious Eruption,85,Poison,#154,16.00%,Solar Storm,70,Cosmic,#351,8.00%,Pressure Point,*****,#440,18.00%,Soothing Voice,***,#452,10.00%,Mirage,#383,11.00%,Miss,#1,21.00%
200004,Experiment 004,Fighting,Rock,Cataclysm,125,Ground,#404,13.00%,Rock Shot,80,Rock,#429,18.00%,Close Combat,85,Fighting,#136,7.00%,Geode Grenade,85,Rock,#244,10.00%,Quarry Coffin,****,#248,17.00%,Lazer Focus,*****,#459,10.00%,Leap,#380,13.00%,Miss,#1,25.00%
200005,Experiment 005,Psychic,Water,Water Gun,50,Water,#53,12.00%,Psyshock Slam,100,Psychic,#202,8.00%,Telepathic Tempest,85,Psychic,#208,10.00%,Rain Dance Rush,40,Water,#61,9.00%,Briny Blast,****,#68,17.00%,Sacred Garden,*****,#456,18.00%,Protect,#377,11.00%,Miss,#1,26.00%
200006,Experiment 006,Ghost,Undead,Zen Headbutt,80,Psychic,#200,12.00%,Apparition Slam,80,Ghost,#430,22.00%,Night Terror,70,Ghost,#261,15.00%,Ghoulish Grab,40,Undead,#367,9.00%,Eerie Mist,*****,#466,14.00%,Disarm,*****,#441,9.00%,Shadow Swap,#382,13.00%,Miss,#1,19.00%
200007,Experiment 007,Rock,Water,Aqua Shot,80,Water,#419,13.00%,Meteoric Impact,125,Rock,#408,18.00%,Rock Throw,40,Rock,#241,8.00%,Close Combat,85,Fighting,#136,16.00%,Knacker,**,#450,17.00%,Neck Snap,*****,#439,13.00%,Protect,#377,10.00%,Miss,#1,15.00%
200008,Experiment 008,Ghost,Rock,Phantom Abyss,125,Ghost,#409,21.00%,Reality Bend,125,Psychic,#406,13.00%,Quick Attack,40,Normal,#25,8.00%,Fossil Fury,55,Rock,#242,7.00%,Ancient Power,***,#247,14.00%,Paranoia,*****,#445,16.00%,Counter,#389,10.00%,Miss,#1,21.00%
200009,Experiment 009,Ice,Normal,Hail Scatter,80,Ice,#422,15.00%,Clap Slap,45,Normal,#8,8.00%,Hailstorm Fury,70,Ice,#117,18.00%,Snuggle Tackle,70,Normal,#27,13.00%,Special Talent,****,#446,16.00%,Sub Zero,*****,#458,18.00%,Protect,#377,11.00%,Miss,#1,12.00%
200010,Experiment 010,Dragonling,Flying,Gale Force Barrage,125,Flying,#405,14.00%,Aerial Assault,80,Flying,#181,16.00%,Dive Tackle,40,Flying,#187,7.00%,Dimensional Shredder,85,Dragon,#280,17.00%,Deafening Scream,***,#453,9.00%,Dragonfire Cloak,****,#467,17.00%,Protect,#377,13.00%,Miss,#1,20.00%
200011,Experiment 011,Bug,Cosmic,Insects Rising,125,Bug,#407,14.00%,Starlight Burst,80,Cosmic,#435,25.00%,Bug Brawl,40,Bug,#223,8.00%,Snuggle Tackle,70,Normal,#27,19.00%,Rapid Evolution,****,#464,16.00%,Infestation,****,#230,8.00%,Protect,#377,15.00%,Miss,#1,10.00%
200012,Experiment 012,Bug,Dark,Shadow Assault,80,Dark,#432,18.00%,Spine Strike,50,Bug,#215,16.00%,Crawler Clobber,85,Bug,#226,25.00%,Eternal Nightfall,85,Dark,#298,15.00%,Rapid Evolution,****,#464,8.00%,Total Darkness,*****,#468,7.00%,Burrow,#385,15.00%,Miss,#1,11.00%
200013,Experiment 013,Fire,Rock,Rock Shot,80,Rock,#429,14.00%,Heat Wave,50,Fire,#35,17.00%,Searing Strike,55,Fire,#44,15.00%,Digging Strike,55,Ground,#170,16.00%,Hellfire,*****,#454,16.00%,Direct Explosion,*****,#438,11.00%,Protect,#377,10.00%,Miss,#1,11.00%
200014,Experiment 014,Cosmic,Ghost,Hyperspace Punch,120,Psychic,#204,9.00%,Cosmic Ray Beam,100,Cosmic,#345,13.00%,Cursed Cut,55,Ghost,#260,11.00%,Aurora Blast,55,Cosmic,#350,14.00%,Special Talent,****,#446,15.00%,Eerie Mist,*****,#466,12.00%,Illusion,#392,12.00%,Miss,#1,26.00%
200015,Experiment 015,Cosmic,Psychic,Dimensional Lazer,125,Cosmic,#396,17.00%,Brain Torment,80,Psychic,#427,22.00%,Lunar Wave,40,Cosmic,#349,9.00%,Psychic Surge,55,Psychic,#206,10.00%,Sucker Punch,***,#448,11.00%,Awaken,****,#447,17.00%,Protect,#377,11.00%,Miss,#1,14.00%
200016,Experiment 016,Ghost,Poison,Venom Nova,125,Poison,#403,12.00%,Toxic Spray,30,Poison,#142,10.00%,Ghostly Guillotine,85,Ghost,#262,8.00%,Sludge Cannon,55,Poison,#152,10.00%,Paranoia,*****,#445,14.00%,Toxic Wasteland,*****,#460,21.00%,Protect,#377,10.00%,Miss,#1,25.00%
200017,Experiment 017,Fire,Psychic,Magma Blast,80,Fire,#38,25.00%,Fire Ball,80,Fire,#418,13.00%,Aura Sphere Blast,70,Psychic,#207,20.00%,Psychic Surge,55,Psychic,#206,11.00%,Hypnosis Haze,*,#209,8.00%,Disarm,*****,#441,11.00%,Protect,#377,10.00%,Miss,#1,12.00%
200018,Experiment 018,Fairy,Psychic,Mystic Moonbeam,120,Fairy,#329,12.00%,Spectral Beam,50,Ghost,#252,18.00%,Obilivion Orb,70,Dark,#297,13.00%,Heavenly Hurricane,85,Fairy,#334,10.00%,Blind,*****,#442,16.00%,Alternate Dimension,****,#463,10.00%,Protect,#377,10.00%,Miss,#1,21.00%
200019,Experiment 019,Flying,Ghost,Apparition Slam,80,Ghost,#430,11.00%,Dive Bomb,100,Flying,#184,14.00%,Jet Strike,55,Normal,#26,10.00%,Wraith Whip,70,Undead,#369,22.00%,Paranoia,*****,#445,13.00%,Dark Cloud,*****,#444,9.00%,Fly,#391,11.00%,Miss,#1,21.00%
200020,Experiment 020,Dragonling,Electric,Voltage Overload,125,Electric,#401,23.00%,Arc Lightning,80,Electric,#421,17.00%,Supernova,70,Dragon,#279,10.00%,Talon Tornado,85,Flying,#190,20.00%,Dragon's Roar,***,#283,5.00%,Eye of the Storm,*****,#457,5.00%,Protect,#377,16.00%,Miss,#1,20.00%
200021,Experiment 021,Electric,Ghost,Electro Storm,100,Electric,#93,24.00%,Spectral Beam,50,Ghost,#252,12.00%,Electro Ball,70,Electric,#99,14.00%,Shockwave Smash,85,Electric,#100,20.00%,Thunderous Roar,***,#103,9.00%,Eye of the Storm,*****,#457,10.00%,Protect,#377,15.00%,Miss,#1,11.00%
200022,Experiment 022,Fire,Electric,Napalm,125,Fire,#398,11.00%,Fire Ball,80,Fire,#418,12.00%,Electro Ball,70,Electric,#99,16.00%,Obilivion Orb,70,Dark,#297,15.00%,Dark Cloud,*****,#444,12.00%,Counter Attack,***,#449,7.00%,Dodge,#376,12.00%,Miss,#1,27.00%
200023,Experiment 023,Ghost,Normal,Bump and Run,100,Normal,#20,15.00%,Death Hug,125,Normal,#397,16.00%,Malicious Pinch,70,Dark,#416,15.00%,Night Terror,70,Ghost,#261,19.00%,Paranoia,*****,#445,7.00%,Special Talent,****,#446,8.00%,Protect,#377,10.00%,Miss,#1,20.00%
200024,Experiment 024,Cosmic,Undead,Death Hug,125,Normal,#397,13.00%,Necro Blast,80,Undead,#436,19.00%,Solar Storm,70,Cosmic,#351,14.00%,Interstellar Impact,85,Cosmic,#352,19.00%,Space Time Warp,**,#354,13.00%,Lucky Comet,****,#471,9.00%,Protect,#377,13.00%,Miss,#1,13.00%
200025,Experiment 025,Ghost,Psychic,Reality Bend,125,Psychic,#406,22.00%,Dream Eater,120,Psychic,#203,18.00%,Ghoulish Grab,40,Undead,#367,13.00%,Cursed Cut,55,Ghost,#260,10.00%,Soul Drain,***,#265,9.00%,Telekinetic Shield,**,#210,13.00%,Protect,#377,11.00%,Miss,#1,15.00%
200026,Experiment 026,Fire,Flying,Feather Shot,80,Flying,#426,10.00%,Heat Wave,50,Fire,#35,6.00%,Whirlwind Whack,70,Flying,#189,15.00%,Flame Whirlwind,70,Fire,#45,17.00%,Hellfire,*****,#454,20.00%,Fire Cloak,*,#47,10.00%,Protect,#377,12.00%,Miss,#1,22.00%
200027,Experiment 027,Ghost,Grass,Banshee Blast,120,Ghost,#257,16.00%,Solar Beam,100,Grass,#75,16.00%,Crystal Crush,85,Ice,#118,21.00%,Sludge Cannon,55,Poison,#152,19.00%,Leaf Wrap,*****,#443,8.00%,Disarm,*****,#441,6.00%,Protect,#377,13.00%,Miss,#1,14.00%
200028,Experiment 028,Cosmic,Grass,Roots Below,125,Grass,#400,17.00%,Piercing Sparkle,125,Fairy,#413,12.00%,Solar Storm,70,Cosmic,#351,12.00%,Lunar Wave,40,Cosmic,#349,8.00%,Sacred Garden,*****,#456,14.00%,Lucky Comet,****,#471,10.00%,Protect,#377,11.00%,Miss,#1,27.00%
200029,Experiment 029,Cosmic,Electric,Arc Lightning,80,Electric,#421,13.00%,Volt Tackle,30,Electric,#88,12.00%,Aurora Blast,55,Cosmic,#350,14.00%,Electro Ball,70,Electric,#99,12.00%,Direct Explosion,*****,#438,15.00%,Special Talent,****,#446,19.00%,Protect,#377,13.00%,Miss,#1,15.00%
200030,Experiment 030,Dragonling,Dark,Whitefire,125,Dragon,#410,19.00%,Shadow Assault,80,Dark,#432,18.00%,Malicious Pinch,70,Dark,#416,9.00%,Dimensional Shredder,85,Dragon,#280,11.00%,Dragon's Roar,***,#283,16.00%,Dragonfire Cloak,****,#467,10.00%,Protect,#377,13.00%,Miss,#1,17.00%
